==============================================================================================================
DANH SÁCH ẢNH BỊ DỰ ĐOÁN SAI BỞI CẢ 2 MÔ HÌNH (HybricMamba & Super_Mamba)
Tổng số ảnh trong dataset: 557,487 ảnh
Số lượng ảnh cả 2 mô hình cùng đoán sai: 5,423 ảnh
Tỷ lệ lỗi chung (Both Wrong Rate): 0.97%
==============================================================================================================
[True: 03 | Hybric: 07 ( 88.9%) | Super: 07 ( 84.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001523.jpg
[True: 03 | Hybric: 02 ( 31.4%) | Super: 05 ( 48.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001532.jpg
[True: 03 | Hybric: 05 ( 24.3%) | Super: 20 ( 23.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001535.jpg
[True: 03 | Hybric: 02 ( 12.7%) | Super: 02 ( 44.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001543.jpg
[True: 03 | Hybric: 04 ( 26.9%) | Super: 02 ( 38.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001546.jpg
[True: 03 | Hybric: 10 (  7.0%) | Super: 02 (  9.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001547.jpg
[True: 03 | Hybric: 02 ( 45.0%) | Super: 02 ( 69.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001558.jpg
[True: 03 | Hybric: 02 ( 39.5%) | Super: 12 ( 30.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001559.jpg
[True: 03 | Hybric: 05 ( 18.4%) | Super: 02 ( 25.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001560.jpg
[True: 03 | Hybric: 07 ( 14.8%) | Super: 02 ( 33.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001563.jpg
[True: 03 | Hybric: 02 ( 22.3%) | Super: 01 ( 16.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001567.jpg
[True: 03 | Hybric: 02 (  8.3%) | Super: 01 ( 19.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001571.jpg
[True: 03 | Hybric: 01 ( 13.0%) | Super: 01 ( 20.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001572.jpg
[True: 03 | Hybric: 01 ( 17.2%) | Super: 13 ( 29.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00003/AdditiveGaussianNoise_255_00003_001574.jpg
