=====================================================================================
DANH SÁCH TẤT CẢ ẢNH BỊ DỰ ĐOÁN SAI TRÊN TOÀN BỘ DATASET
Tổng số ảnh trong dataset: 557,496 ảnh
Tổng số trường hợp bị đoán sai: 8,219 ảnh
Tỷ lệ lỗi (Error Rate): 1.47%
Độ chính xác (Accuracy): 98.53%
=====================================================================================
[True: 23 | Hybric: 30 ( 69.9%) | Super: 20 ( 53.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00023/weather_rain_5_00023_006501.jpg
[True: 23 | Hybric: 19 ( 60.1%) | Super: 19 ( 42.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00023/weather_rain_7_00023_006615.jpg
[True: 23 | Hybric: 30 ( 94.9%) | Super: 30 ( 93.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00023/weather_rain_7_00023_006764.jpg
[True: 24 | Hybric: 18 ( 54.1%) | Super: 18 ( 74.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000273.jpg
[True: 24 | Hybric: 31 ( 21.6%) | Super: 20 ( 56.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000274.jpg
[True: 24 | Hybric: 18 ( 89.2%) | Super: 18 ( 46.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000282.jpg
[True: 24 | Hybric: 25 ( 25.0%) | Super: 31 ( 32.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000288.jpg
[True: 24 | Hybric: 28 ( 44.2%) | Super: 11 ( 59.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000293.jpg
[True: 24 | Hybric: 18 ( 77.2%) | Super: 28 ( 46.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000307.jpg
[True: 24 | Hybric: 18 ( 45.3%) | Super: 19 ( 26.3%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000309.jpg
[True: 24 | Hybric: 30 ( 76.5%) | Super: 11 ( 91.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000317.jpg
[True: 24 | Hybric: 31 ( 31.8%) | Super: 28 ( 40.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000320.jpg
[True: 24 | Hybric: 18 ( 72.5%) | Super: 18 ( 74.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000324.jpg
[True: 24 | Hybric: 28 ( 27.5%) | Super: 18 ( 77.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000326.jpg
[True: 24 | Hybric: 28 ( 25.1%) | Super: 28 ( 41.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000328.jpg
[True: 24 | Hybric: 28 ( 36.7%) | Super: 11 ( 80.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000333.jpg
[True: 24 | Hybric: 18 ( 21.2%) | Super: 04 ( 32.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000339.jpg
[True: 24 | Hybric: 11 ( 72.1%) | Super: 11 ( 54.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000345.jpg
[True: 24 | Hybric: 31 ( 36.6%) | Super: 25 ( 32.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000356.jpg
[True: 24 | Hybric: 29 ( 24.3%) | Super: 11 ( 39.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_255_00024_000359.jpg
[True: 24 | Hybric: 38 ( 18.7%) | Super: 38 ( 25.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000455.jpg
[True: 24 | Hybric: 23 ( 47.0%) | Super: 23 ( 34.8%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000458.jpg
[True: 24 | Hybric: 14 ( 69.2%) | Super: 02 ( 22.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000461.jpg
[True: 24 | Hybric: 38 ( 45.7%) | Super: 18 ( 33.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000463.jpg
[True: 24 | Hybric: 25 ( 75.2%) | Super: 25 ( 71.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000469.jpg
[True: 24 | Hybric: 11 ( 44.4%) | Super: 18 ( 76.2%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000477.jpg
[True: 24 | Hybric: 28 ( 52.1%) | Super: 13 ( 56.0%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000484.jpg
[True: 24 | Hybric: 01 ( 59.3%) | Super: 04 ( 41.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00024/AdditiveGaussianNoise_d120_00024_000486.jpg
