================================================================================
📊 BÁO CÁO ĐÁNH GIÁ MÔ HÌNH CNN_Mamba_CNN_Mamba_EnhancedV4
================================================================================

📈 TỔNG QUAN:
  - Tổng số mẫu dataset: 557,487
  - Dự đoán đúng: 549,628 (98.59%)
  - Dự đoán sai: 7,859 (1.41%)

📊 ACCURACY THEO TỪNG CLASS:
--------------------------------------------------------------------------------
  Class 00:   2615/  2683 =  97.47%
  Class 01:  31314/ 31903 =  98.15%
  Class 02:  32340/ 32981 =  98.06%
  Class 03:  19334/ 19784 =  97.73%
  Class 04:  28131/ 28761 =  97.81%
  Class 05:  26910/ 27551 =  97.67%
  Class 06:   6400/  6453 =  99.18%
  Class 07:  19484/ 19831 =  98.25%
  Class 08:  19302/ 19625 =  98.35%
  Class 09:  20861/ 21109 =  98.83%
  Class 10:  29221/ 29415 =  99.34%
  Class 11:  18554/ 18652 =  99.47%
  Class 12:  30201/ 30439 =  99.22%
  Class 13:  31588/ 31803 =  99.32%
  Class 14:  11787/ 11895 =  99.09%
  Class 15:   9150/  9305 =  98.33%
  Class 16:   6445/  6478 =  99.49%
  Class 17:  15805/ 15968 =  98.98%
  Class 18:  16887/ 17161 =  98.40%
  Class 19:   2554/  2640 =  96.74%
  Class 20:   4041/  4105 =  98.44%
  Class 21:   4015/  4090 =  98.17%
  Class 22:   5262/  5353 =  98.30%
  Class 23:   6493/  6646 =  97.70%
  Class 24:   3884/  3976 =  97.69%
  Class 25:  21152/ 21332 =  99.16%
  Class 26:   7903/  8010 =  98.66%
  Class 27:   2696/  2746 =  98.18%
  Class 28:   6646/  6777 =  98.07%
  Class 29:   3920/  3972 =  98.69%
  Class 30:   6368/  6519 =  97.68%
  Class 31:  11559/ 11650 =  99.22%
  Class 32:   2672/  2730 =  97.88%
  Class 33:   9295/  9392 =  98.97%
  Class 34:   5394/  5407 =  99.76%
  Class 35:  16926/ 17151 =  98.69%
  Class 36:   5280/  5370 =  98.32%
  Class 37:   2652/  2682 =  98.88%
  Class 38:  30034/ 30419 =  98.73%
  Class 39:   3956/  4000 =  98.90%
  Class 40:   4076/  4103 =  99.34%
  Class 41:   2700/  2730 =  98.90%
  Class 42:   3821/  3890 =  98.23%

================================================================================
