=====================================================================================
DANH SÁCH ẢNH NHIỄU (AdditiveGaussianNoise_d255) BỊ DỰ ĐOÁN SAI
Tổng số ảnh nhiễu tìm thấy: 7,003 ảnh
Tổng số trường hợp bị đoán sai: 2,033 ảnh
Tỷ lệ lỗi trên tập ảnh nhiễu này: 29.03%
=====================================================================================
[True: 08 | Hybric: 04 ( 49.0%) | Super: 07 ( 41.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_5_00008_019260.jpg
[True: 08 | Hybric: 01 ( 45.9%) | Super: 04 ( 95.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_5_00008_019343.jpg
[True: 08 | Hybric: 16 ( 45.0%) | Super: 18 ( 35.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_5_00008_019659.jpg
[True: 08 | Hybric: 03 ( 48.3%) | Super: 03 ( 19.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_019710.jpg
[True: 08 | Hybric: 04 ( 53.3%) | Super: 04 ( 50.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_019781.jpg
[True: 08 | Hybric: 04 ( 65.6%) | Super: 04 ( 74.5%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_019902.jpg
[True: 08 | Hybric: 07 ( 41.8%) | Super: 07 ( 36.9%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_019979.jpg
[True: 08 | Hybric: 07 ( 62.9%) | Super: 07 ( 70.4%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_020066.jpg
[True: 08 | Hybric: 04 ( 51.5%) | Super: 03 ( 59.6%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00008/weather_rain_7_00008_020068.jpg
[True: 09 | Hybric: 03 ( 36.2%) | Super: 03 ( 56.1%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00009/AdditiveGaussianNoise_255_00009_001450.jpg
[True: 09 | Hybric: 02 ( 14.9%) | Super: 02 ( 19.7%)] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00009/AdditiveGaussianNoise_255_00009_001455.jpg
